Treatment,Folder,DATE,Photo names,,Area,Mean,Min,Max,Lenght
A,A1_02_06,02/06/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_02_06\A1_02_06_2",5,0.023,"114,739","57,060","163,029","6,924"
A,A1_02_06,02/06/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_02_06\A1_02_06_2",4,0.023,"128,659","76,028","161,769","7,023"
A,A1_02_06,02/06/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_02_06\A1_02_06_1",3,0.024,"124,756","69,241","167,727","7,059"
A,A1_02_06,02/06/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_02_06\A1_02_06_3",6,0.024,"129,069","77,856","164,024","7,188"
A,A1_08_12_23,08/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_08_12_23\A1_08_12_23",7,0.023,"120,484","66,818","159,739","6,853"
A,A1_08_12_23_2,08/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_08_12_23_2\A1_08_12_23_2",8,0.021,"130,943","83,587","161,502","6,336"
A,A1_12_01_24,12/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_12_01_24\A1_12_01_24",9,0.022,"121,312","61,216","164,413","6,640"
A,A1_12_01_24,12/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_12_01_24\A1_12_01_24",10,0.023,"125,115","70,152","163,611","6,756"
A,A1_12_01_24_2,12/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_12_01_24_2\A1_12_01_24_2",11,0.023,"127,473","56,103","164,000","6,747"
A,A1_15_12_23,15/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_15_12_23\A1_15_12_23_2",12,0.022,"116,801","59,689","156,227","6,704"
A,A1_15_12_23,15/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_15_12_23\A1_15_12_23_2",13,0.023,"121,048","67,297","155,457","6,853"
A,A1_25_12_23,25/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_25_12_23\A1_25_12_23_1",14,0.021,"106,051","46,832","158,170","6,442"
A,A1_25_12_23,25/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_25_12_23\A1_25_12_23_2",16,0.022,"129,580","63,180","163,472","6,587"
A,A1_25_12_23,25/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_25_12_23\A1_25_12_23_2",15,0.023,"124,248","57,576","162,524","6,754"
A,A1_26_01_24,26/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_26_01_24\A1_26_01_24",18,0.023,"123,712","49,751","162,842","6,851"
A,A1_26_01_24,26/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_26_01_24\A1_26_01_24",17,0.024,"137,100","69,850","163,697","7,338"
A,A1_28_12_23,28/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_28_12_23\A1_28_12_23_1",19,0.020,"123,922","74,433","166,238","6,111"
A,A1_28_12_23,28/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_28_12_23\A1_28_12_23_1",20,0.022,"117,471","56,586","161,232","6,521"
A,A1_28_12_23,28/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_28_12_23\A1_28_12_23_2",21,0.024,"125,616","56,867","164,757","7,197"
A,A1_29_01_24,29/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_29_01_24\A1_29_01_24",22,0.023,"148,013","72,960","171,382","6,934"
A,A1_29_01_24_2,29/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_29_01_24_2\A1_29_01_24_2_1",22,0.024,"145,495","72,236","167,745","7,117"
A,A1_29_01_24_2,29/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A1_29_01_24_2\A1_29_01_24_2_2",23,0.025,"123,446","61,440","166,347","7,370"
A,A2 01_02_24,01/12/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 01_02_24\Snap-263.czi,2,0.028,186.349,93.418,223.762,7.602
A,A2 01_02_24,01/12/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 01_02_24\Snap-262.czi,1,0.03,169.631,81.25,228.341,8.182
A,A2 04_03_24,04/03/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 04_03_24\Snap-244.czi,1,0.025,186.132,93.611,225.784,6.741
A,A2 13_03_24,13/03/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 13_03_24\Snap-248.czi,1,0.023,187.303,108.006,229.62,6.155
A,A2 exuviae 23_02_24,23/02/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 exuviae 23_02_24\Snap-211.czi,1,0.028,182.466,87.215,224.652,7.636
A,A2 exuviae 6_2_24,06/02/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 exuviae 6_2_24\Snap-52.czi,2,0.031,176.67,95.197,220.023,8.436
A,A2 exuviae 6_2_24,06/02/2024,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A2 exuviae 6_2_24\Snap-51.czi,1,0.032,162.706,93.453,224.71,8.67
A,A2_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_01_01_24\A2_01_01_24_5",28,0.022,"93,566","41,008","155,275","6,635"
A,A2_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_01_01_24\A2_01_01_24_3",25,0.025,"135,470","59,572","164,654","7,461"
A,A2_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_01_01_24\A2_01_01_24_3",26,0.025,"119,336","55,590","161,425","7,539"
A,A2_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_01_01_24\A2_01_01_24_4",27,0.026,"135,885","55,275","169,717","7,788"
A,A2_01_01_24,01/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_01_01_24\A2_01_01_24_2",24,0.026,"118,603","51,071","161,377","7,821"
A,A2_08_01_24,08/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_08_01_24\A2_08_01_24_1",29,0.025,"110,013","60,618","161,516","7,348"
A,A2_08_12_23,08/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_08_12_23\A2_08_12_23",30,0.024,"125,643","47,630","165,541","7,127"
A,A2_08_12_23,08/01/2024,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_08_12_23\A2_08_12_23_2",31,0.024,"133,937","69,930","163,762","7,168"
A,A2_12_12_23,12/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_12_12_23\A2_12_12_23_1",33,0.022,"128,572","61,086","161,101","6,462"
A,A2_12_12_23,12/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_12_12_23\A2_12_12_23_2",36,0.023,"124,608","46,898","157,055","6,788"
A,A2_12_12_23,12/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_12_12_23\A2_12_12_23_1",34,0.023,"126,313","58,524","157,736","6,988"
A,A2_12_12_23,12/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_12_12_23\A2_12_12_23_2",35,0.023,"131,857","67,912","159,722","6,994"
A,A2_15_12_23,15/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_15_12_23\A2_15_12_23",37,0.024,"137,295","59,040","164,629","7,088"
A,A2_22_12_23,22/12/2023,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_22_12_23\A2_22_12_23_3",41,0.023,"142,153","72,909","167,322","6,980"
A,A2_22_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_22_12_23\A2_22_12_23_2",39,0.023,"132,290","62,951","167,188","7,028"
A,A2_22_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_22_12_23\A2_22_12_23_2",40,0.024,"136,909","75,707","169,888","7,233"
A,A2_22_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_22_12_23\A2_22_12_23_1",38,0.028,"131,656","51,181","165,107","8,249"
A,A2_25_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_25_12_23\A2_25_12_23",42,0.022,"131,495","74,959","163,523","6,643"
A,A2_25_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_25_12_23\A2_25_12_23",43,0.025,"135,715","69,409","164,537","7,608"
A,A2_26_01_24,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_26_01_24\A2_26_01_24",44,0.026,"111,984","51,875","156,190","7,846"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_6",54,0.022,"134,571","60,467","173,282","6,587"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_4",51,0.025,"117,049","56,240","155,753","7,368"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_1",46,0.025,"123,652","71,101","156,546","7,385"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_5",52,0.025,"140,946","66,925","168,334","7,428"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_3",49,0.026,"118,577","53,300","162,390","7,658"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_2",48,0.026,"119,378","49,525","158,081","7,893"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_2",47,0.027,"130,482","59,000","157,746","7,982"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_5",53,0.027,"128,602","50,495","168,936","8,018"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_1",45,0.027,"130,327","53,033","158,754","8,066"
A,A2_28_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A2_28_12_23\A2_28_12_23_4",50,0.028,"123,950","51,783","165,489","8,378"
A,A3 01_02_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 01_02_24\Snap-261.czi,1,0.027,184.917,93.691,221.073,7.438
A,A3 04_03_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 04_03_24\Snap-109.czi,1,0.029,160.52,69.147,226.215,7.907
A,A3 04_03_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 04_03_24\Snap-245.czi,2,0.03,173.562,106.465,223.621,8.228
A,A3 exuviae 06_02_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 exuviae 06_02_24\Snap-70.czi,1,0.029,170.972,89.925,225.806,7.901
A,A3 exuviae 06_02_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 exuviae 06_02_24\Snap-71.czi,2,0.029,177.288,103.183,227.602,7.966
A,A3 exuviae 20_02_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 exuviae 20_02_24\Snap-86.czi,1,0.025,165.747,90.665,218.094,6.931
A,A3 exuviae 23_02_24,,C:\Users\solef\OneDrive\Escritorio\Chironomus riparius\EXUVIAE\A3 exuviae 23_02_24\Snap-213.czi,1,0.027,186.145,85.321,223.999,7.414
A,A3_01_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_01_12_23\A3_01_12_23_3",59,0.022,"131,003","76,045","160,013","6,508"
A,A3_01_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_01_12_23\A3_01_12_23_2",58,0.023,"117,353","61,087","156,480","6,790"
A,A3_01_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_01_12_23\A3_01_12_23_2",57,0.023,"119,101","59,155","155,740","6,883"
A,A3_01_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_01_12_23\A3_01_12_23_1",55,0.024,"118,017","63,346","159,460","7,057"
A,A3_01_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_01_12_23\A3_01_12_23_1",56,0.024,"112,657","46,744","163,401","7,318"
A,A3_05_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_05_12_23\A3_05_12_23_2",61,0.023,"115,754","52,088","163,033","6,823"
A,A3_05_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_05_12_23\A3_05_12_23_1",60,0.024,"127,423","54,108","164,993","7,063"
A,A3_08_01_24,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_01_24\A3_08_01_24",1,0.028,"121,980","46,452","168,733","8,386"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_5",1,0.022,"127,046","53,213","164,599","6,689"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_9",20,0.022,"96,707","56,436","154,259","6,706"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_1",2,0.024,"114,369","50,931","159,576","7,055"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_4",5,0.024,"110,174","58,755","164,563","7,073"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_3",4,0.024,"131,851","59,785","160,642","7,086"
A,A3_08_12_23,,"C:\Users\julia\Documents\Estudios\Máster en Conservación, gestión y restauración de la biodiversidad (UGR)\Becas\Beca CSIC JAE Intro ICU\2024\Chironomus riparius\EXUVIA 2\A3_08_12_23\A3_08_12_23_1",3,0.024,"121,245","64,284","162,256","7,173"
